rt,stimulus,response,list_number,prime_condition,subject_id,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version
3301,Do you know the answer?,1,2,semantic,98127,html-button-response,11,61018,0.0-1.0-2.2,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
25613,,"{""Q0"":""helsinki ""}",2,semantic,98127,survey-text,12,86642,0.0-1.0-3.2,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
null,The practice of having more than one spouse at the same time,null,2,semantic,98127,html-keyboard-response,13,91645,0.0-1.0-0.3,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
null,MARRIAGE,null,2,semantic,98127,html-keyboard-response,14,91898,0.0-1.0-1.3,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
1624,Do you know the answer?,0,2,semantic,98127,html-button-response,15,93525,0.0-1.0-2.3,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
3326,,"{""Q0"":""polygamy""}",2,semantic,98127,survey-text,16,96859,0.0-1.0-3.3,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
null,Last name of Sherlock Holmes' assistant and friend,null,2,phonological,98127,html-keyboard-response,17,101862,0.0-1.0-0.4,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
null,WATTAGE,null,2,phonological,98127,html-keyboard-response,18,102117,0.0-1.0-1.4,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
1641,Do you know the answer?,0,2,phonological,98127,html-button-response,19,103761,0.0-1.0-2.4,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
3013,,"{""Q0"":""Watson""}",2,phonological,98127,survey-text,20,106784,0.0-1.0-3.4,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
